-99.24,19.27,,,-99.24,-99.196,-99.152,-99.108,-99.064,-99.02,,,-99.24,,,,,
-99.02,19.52,,,19.27,19.22,19.17,19.12,19.07,19.02,,,19.27,19.22,19.17,19.12,19.07,19.02
,,,,,,,,,,,,,,,,,
-0.22,-0.25,,,,,,,,,,,-99.196,,,,,
,,,,,,,,,,,,19.27,19.22,19.17,19.12,19.07,19.02
-0.044,-0.05,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,-99.152,,,,,
,,,,,,,,,,,,19.27,19.22,19.17,19.12,19.07,19.02
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,-99.108,,,,,
,,,,,,,,,,,,19.27,19.22,19.17,19.12,19.07,19.02
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,-99.064,,,,,
,,,,,,,,,,,,19.27,19.22,19.17,19.12,19.07,19.02
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,-99.02,,,,,
,,,,,,,,,,,,19.27,19.22,19.17,19.12,19.07,19.02
